name,description,price,category,image_path,stock_info,location,gender,item_type,color,style,season,fit,formality,warmth
세미마이드 플레어 블레이저,포멀한 실루엣의 블레이저,79000,office,127091df90644be7b9d867ad0880eef3.png,"M(4), L(3)",강남점 2F,women,outer,black,formal,fall,regular,5,4
클린 코튼 셔츠,데일리로 활용하기 좋은 셔츠,39000,daily,7e974d807a65493e94806fbf1707ae14.png,"S(6), M(2)",강남점 2F,women,top,white,casual,all,regular,2,2
데이트 원피스,데이트용 플로럴 원피스,69000,date,6750cfdc720b4d2aa09091db7906c376.png,"S(2), M(1)",강남점 2F,women,onepiece,pink,casual,spring,slim,3,2
와이드 슬랙스,데일리/오피스 겸용 슬랙스,62000,office,3de4f9611988422ca08fac61076dafda.png,"S(3), M(4)",강남점 2F,women,bottom,gray,formal,all,regular,4,3
니트 가디건,간절기용 가디건,55000,daily,7ce21c20f39b4b0aa43c9c48108bc5eb.png,"FREE(5)",홍대점 1F,women,outer,beige,casual,fall,over,2,3
데님 팬츠,기본 일자 데님,48000,daily,10653f1013ad4dd3a6dbea5e83b1ec37.png,"26(4), 28(3)",홍대점 1F,women,bottom,blue,casual,all,regular,1,2
테일러드 슬랙스,핏이 안정적인 슬랙스,59000,office,c12e9a64d6444d068ea362fe7706f5b4.png,"30(4), 32(2)",강남점 2F,men,bottom,black,formal,all,slim,5,3
라이트 니트,간절기용 베이직 니트,45000,daily,c8d384963b6944b2abe23ac9ee760da9.png,"M(1), L(5)",홍대점 1F,men,top,navy,casual,fall,regular,2,3
액티브 조거 팬츠,활동성 좋은 조거 팬츠,52000,active,9c7f9c6bc36a4577a4263ba305175a1f.png,"M(3), L(2)",잠실점 3F,men,bottom,charcoal,sporty,all,regular,1,2
옥스포드 셔츠,단정한 옥스포드 셔츠,43000,office,79705de2490c41e3b650fdb581da9f9f.png,"M(3), L(3)",강남점 2F,men,top,white,formal,all,regular,4,2
후드 집업,스포티한 데일리 아우터,57000,active,1629adbc0f964f299490238c72f86be9.png,"M(4), L(4)",잠실점 3F,men,outer,gray,sporty,all,over,1,3
트렌치 코트,포멀 캐주얼 트렌치 코트,89000,date,ebd9ab93b4cd4b93847da625bda38db2.png,"M(2), L(2)",강남점 2F,men,outer,beige,formal,fall,regular,4,4
